"id","entry_type","availability","group","title_ja","title_zh_working","first_srw_in_64","rom_category_key","notes"
"gundam","licensed_work","native","gundam","機動戦士ガンダム","机动战士高达","no","t00_00060","本体可直接登场"
"gundam_08th","licensed_work","native","gundam","機動戦士ガンダム 第08MS小隊","机动战士高达 第08MS小队","yes","t00_00061","SRW64首次参战；发售时原作尚未完结，属客串式处理"
"gundam_0083","licensed_work","native","gundam","機動戦士ガンダム0083 STARDUST MEMORY","机动战士高达0083 STARDUST MEMORY","no","t00_00062","本体可直接登场"
"gundam_z","licensed_work","native","gundam","機動戦士Ζガンダム","机动战士Z高达","no","t00_00063","本体可直接登场"
"gundam_zz","licensed_work","native","gundam","機動戦士ガンダムΖΖ","机动战士高达ZZ","no","t00_00064","本体可直接登场"
"gundam_cca","licensed_work","native","gundam","機動戦士ガンダム 逆襲のシャア","机动战士高达 逆袭的夏亚","no","t00_00065","本体可直接登场"
"gundam_f91","licensed_work","link_battler_only","gundam","機動戦士ガンダムF91","机动战士高达F91","no","t00_00066","必须通过Link Battler联动加入"
"g_gundam","licensed_work","native","gundam","機動武闘伝Gガンダム","机动武斗传G高达","no","t00_00068","本体可直接登场"
"gundam_w","licensed_work","native","gundam","新機動戦記ガンダムW","新机动战记高达W","no","t00_00069","Endless Waltz仅作为部分机体设计来源"
"daitarn3","licensed_work","native","other","無敵鋼人ダイターン3","无敌钢人泰坦3","no","t00_00078","本体可直接登场"
"zambot3","licensed_work","link_battler_only","other","無敵超人ザンボット3","无敌超人赞波特3","no","t00_00077","必须通过Link Battler联动加入"
"dunbine","licensed_work","native","other","聖戦士ダンバイン","圣战士丹拜因","no","t00_00080","本体可直接登场"
"layzner","licensed_work","native","other","蒼き流星SPTレイズナー","苍之流星SPT雷兹纳","no","t00_00082","本体可直接登场"
"mazinger_z","licensed_work","native","mazinger_getter","マジンガーZ","魔神Z","no","t00_00070","本体可直接登场"
"great_mazinger","licensed_work","native","mazinger_getter","グレートマジンガー","大魔神","no","t00_00071","本体可直接登场"
"grendizer","licensed_work","native","mazinger_getter","UFOロボ グレンダイザー","UFO机器人 古连泰沙","no","t00_00072","本体可直接登场"
"mazinger_movies","licensed_work","native","mazinger_getter","劇場版 マジンガーシリーズ","剧场版魔神系列","no","","机体参战；ROM未给它独立作品分类key"
"getter_robo","licensed_work","native","mazinger_getter","ゲッターロボ","盖塔机器人","no","t00_00073","本体可直接登场"
"getter_robo_g","licensed_work","native","mazinger_getter","ゲッターロボG","盖塔机器人G","no","t00_00074","本体可直接登场"
"shin_getter_manga","licensed_work","native","mazinger_getter","真・ゲッターロボ（原作漫画版）","真・盖塔机器人（原作漫画版）","no","","机体参战；ROM未给它独立作品分类key"
"giant_robo","licensed_work","native","other","ジャイアントロボ THE ANIMATION 地球が静止する日","大铁人 THE ANIMATION 地球静止之日","yes","t00_00084","SRW64首次参战"
"combattler_v","licensed_work","native","other","超電磁ロボ コン・バトラーV","超电磁机器人 孔巴特拉V","no","t00_00076","本体可直接登场"
"godmars","licensed_work","native","other","六神合体ゴッドマーズ","六神合体God Mars","yes","t00_00083","SRW64首次参战"
"dancouga","licensed_work","native","other","超獣機神ダンクーガ","超兽机神断空我","no","t00_00081","本体还采用GOD BLESS DANCOUGA的部分情节"
"goshogun","licensed_work","link_battler_only","other","戦国魔神ゴーショーグン","战国魔神豪将军","no","t00_00079","必须通过Link Battler联动加入"
"banpresto_original","original","original","original","バンプレストオリジナル","Banpresto原创","","t00_00075","四组原创主人公与对应机体，不计入25部授权作品"
"z_msv","supplemental_source","embedded_elements","gundam","Ζ-MSV","Z-MSV","","t00_00067","部分机体来源；不是独立剧情参战作品"
"m_msv","supplemental_source","embedded_elements","gundam","M-MSV","M-MSV","","t00_00067","部分机体来源；与Z-MSV共用ROM内MSV分类"
"gundam_w_endless_waltz","supplemental_source","embedded_elements","gundam","新機動戦記ガンダムW Endless Waltz","新机动战记高达W Endless Waltz","","t00_00069","部分机体设计来源；ROM归入高达W分类"
"god_bless_dancouga","supplemental_source","embedded_elements","other","超獣機神ダンクーガ GOD BLESS DANCOUGA","超兽机神断空我 GOD BLESS DANCOUGA","","t00_00081","部分情节来源；ROM归入断空我分类"
