"glyph_id","char","status","note","form"
"1","0","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"2","1","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"3","2","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"4","3","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"5","4","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"6","5","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"7","6","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"8","7","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"9","8","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"10","9","confirmed","FUN_8008d1d8 ASCII digit mapping","half"
"11","A","confirmed","FUN_8008d1d8 ASCII uppercase mapping","half"
"12","B","confirmed","FUN_8008d1d8 ASCII uppercase mapping","half"
"13","C","confirmed","FUN_8008d1d8 ASCII uppercase mapping","half"
"14","D","confirmed","FUN_8008d1d8 ASCII uppercase mapping","half"
"15","E","confirmed","visual 8x14 font chart","half"
"16","F","confirmed","visual 8x14 font chart","half"
"17","G","confirmed","visual 8x14 font chart","half"
"18","H","confirmed","visual 8x14 font chart","half"
"19","I","confirmed","visual 8x14 font chart","half"
"20","J","confirmed","visual 8x14 font chart","half"
"21","K","confirmed","visual 8x14 font chart","half"
"22","L","confirmed","visual 8x14 font chart","half"
"23","M","confirmed","visual 8x14 font chart","half"
"24","N","confirmed","visual 8x14 font chart","half"
"25","O","confirmed","visual 8x14 font chart","half"
"26","P","confirmed","visual 8x14 font chart","half"
"27","Q","confirmed","visual 8x14 font chart","half"
"28","R","confirmed","visual 8x14 font chart","half"
"29","S","confirmed","visual 8x14 font chart","half"
"30","T","confirmed","visual 8x14 font chart","half"
"31","U","confirmed","visual 8x14 font chart","half"
"32","V","confirmed","visual 8x14 font chart","half"
"33","W","confirmed","visual 8x14 font chart","half"
"34","X","confirmed","visual 8x14 font chart","half"
"35","Y","confirmed","visual 8x14 font chart","half"
"36","Z","confirmed","visual 8x14 font chart","half"
"37","あ","confirmed","visual 8x14 hiragana chart; UI context 空きがありません","half"
"38","い","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください","half"
"39","う","confirmed","visual 8x14 hiragana chart","half"
"40","え","confirmed","visual 8x14 hiragana chart","half"
"41","お","confirmed","visual 8x14 hiragana chart","half"
"42","か","confirmed","visual 8x14 hiragana chart","half"
"43","き","confirmed","visual 8x14 hiragana chart; table 0:82 蒼き流星SPTレイズナー","half"
"44","く","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください","half"
"45","け","confirmed","visual 8x14 hiragana chart","half"
"46","こ","confirmed","visual 8x14 hiragana chart","half"
"47","さ","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください","half"
"48","し","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください","half"
"49","す","confirmed","visual 8x14 hiragana chart","half"
"50","せ","confirmed","visual 8x14 hiragana chart; UI context 空きがありません","half"
"51","そ","confirmed","visual 8x14 hiragana chart","half"
"52","た","confirmed","visual 8x14 hiragana chart","half"
"53","ち","confirmed","visual 8x14 hiragana chart","half"
"54","つ","confirmed","visual 8x14 hiragana chart","half"
"55","て","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください","half"
"56","と","confirmed","visual 8x14 hiragana chart","half"
"57","な","confirmed","visual 8x14 hiragana chart","half"
"58","に","confirmed","visual 8x14 hiragana chart","half"
"59","ぬ","confirmed","visual 8x14 hiragana chart","half"
"60","ね","confirmed","visual 8x14 hiragana chart","half"
"61","の","confirmed","visual 8x14 hiragana chart; table 0:90 逆襲のシャア","half"
"62","は","confirmed","visual 8x14 hiragana chart","half"
"63","ひ","confirmed","visual 8x14 hiragana chart","half"
"64","ふ","confirmed","visual 8x14 hiragana chart","half"
"65","へ","confirmed","visual 8x14 hiragana chart","half"
"66","ほ","confirmed","visual 8x14 hiragana chart","half"
"67","ま","confirmed","visual 8x14 hiragana chart; UI context 空きがありません","half"
"68","み","confirmed","visual 8x14 hiragana chart","half"
"69","む","confirmed","visual 8x14 hiragana chart","half"
"70","め","confirmed","visual 8x14 hiragana chart","half"
"71","も","confirmed","visual 8x14 hiragana chart","half"
"72","や","confirmed","visual 8x14 hiragana chart","half"
"73","ゆ","confirmed","visual 8x14 hiragana chart","half"
"74","よ","confirmed","visual 8x14 hiragana chart","half"
"75","ら","confirmed","visual 8x14 hiragana chart","half"
"76","り","confirmed","visual 8x14 hiragana chart; UI context 空きがありません","half"
"77","る","confirmed","visual 8x14 hiragana chart","half"
"78","れ","confirmed","visual 8x14 hiragana chart","half"
"79","ろ","confirmed","visual 8x14 hiragana chart","half"
"80","わ","confirmed","visual 8x14 hiragana chart","half"
"81","を","confirmed","visual 8x14 hiragana chart; UI context Aボタンを押してください","half"
"82","ん","confirmed","visual 8x14 hiragana chart; UI context 空きがありません","half"
"92","が","confirmed","visual UI context コントローラパックが接続されていません","half"
"102","だ","confirmed","visual UI context Aボタンを押してください","half"
"105","で","confirmed","visual UI context 空きページが必要です","half"
"198","?","confirmed","FUN_8008d1d8 ASCII special mapping","half"
"210","+","confirmed","FUN_8008d1d8 ASCII special mapping","half"
"211","ー","confirmed","visual long vowel mark; FUN_8008d1d8 '-' also maps here","half"
"212","±","confirmed","bitmap-corrected 2026-09-17 (seed $): tile shows ±; FUN_8008d1d8 substitutes this glyph for ASCII '$'","half"
"213","/","confirmed","FUN_8008d1d8 ASCII special mapping","half"
"217","%","confirmed","bitmap-corrected 2026-09-17 (seed p): tile shows %; FUN_8008d1d8 substitutes this glyph for ASCII 'p'; context HP/EN %, %アップ","half"
"218","～","confirmed","bitmap-corrected 2026-09-17 (seed _): tile shows a wave dash; FUN_8008d1d8 substitutes this glyph for ASCII '_'; context モビルスーツ戦～敵機襲来, げ～","half"
"220","「","confirmed","visual quote opener; dialogue context","half"
"221","」","confirmed","visual quote closer; dialogue context","half"
"224","(","confirmed","FUN_8008d1d8 ASCII special mapping","half"
"225",")","confirmed","FUN_8008d1d8 ASCII special mapping","half"
"124","ク","confirmed","visual table 0:11 クレバス","half"
"129","ス","confirmed","visual table 0:11 クレバス","half"
"132","タ","confirmed","visual table 0:35 クレーター","half"
"118","イ","confirmed","visual table 0:72 UFOロボ グレンダイザー","half"
"121","オ","confirmed","visual table 0:100 オリジナル","half"
"117","ア","confirmed","visual table 0:84 ジャイアント・ロボ","half"
"126","コ","confirmed","visual table 0:76 超電磁ロボ コン・バトラーV","half"
"128","シ","confirmed","visual table 0:79 戦国魔神ゴーショーグン","half"
"136","ト","confirmed","visual table 0:71 グレートマジンガー","half"
"137","ナ","confirmed","visual table 0:82 蒼き流星SPTレイズナー","half"
"147","マ","confirmed","visual table 0:70 マジンガー","half"
"149","ム","confirmed","visual table 0:60 機動戦士ガンダム","half"
"155","ラ","confirmed","visual table 0:76 超電磁ロボ コン・バトラーV","half"
"156","リ","confirmed","visual table 0:100 オリジナル","half"
"157","ル","confirmed","visual table 0:19 高層ビル","half"
"158","レ","confirmed","visual table 0:11 クレバス; table 0:35 クレーター","half"
"159","ロ","confirmed","visual table 0:72 UFOロボ グレンダイザー","half"
"162","ン","confirmed","visual table 0:60 機動戦士ガンダム","half"
"172","ガ","confirmed","visual table 0:60 機動戦士ガンダム","half"
"168","ッ","confirmed","visual table 0:73 ゲッターロボ","half"
"169","ャ","confirmed","visual table 0:84 ジャイアント・ロボ","half"
"171","ョ","confirmed","visual table 0:79 戦国魔神ゴーショーグン","half"
"174","グ","confirmed","visual table 0:71 グレートマジンガー","half"
"175","ゲ","confirmed","visual table 0:73 ゲッターロボ","half"
"176","ゴ","confirmed","visual table 0:79 戦国魔神ゴーショーグン","half"
"177","ザ","confirmed","visual table 0:72 UFOロボ グレンダイザー","half"
"178","ジ","confirmed","visual table 0:70 マジンガー","half"
"179","ズ","confirmed","visual table 0:82 蒼き流星SPTレイズナー","half"
"182","ダ","confirmed","visual table 0:60 機動戦士ガンダム","half"
"186","ド","confirmed","visual table 0:83 六神合体ゴッドマーズ","half"
"187","バ","confirmed","visual table 0:11 クレバス","half"
"188","ビ","confirmed","visual table 0:19 高層ビル","half"
"191","ボ","confirmed","visual table 0:72 UFOロボ グレンダイザー","half"
"192","パ","confirmed","visual UI context コントローラパック","half"
"195","ペ","confirmed","visual UI context 空きページ","half"
"197","!","confirmed","visual punctuation; dialogue/title context とべ!グレンダイザー","half"
"199","”","confirmed","visual emphasis-quote closer; dialogue context <g248>term<g199>","half"
"202",".","confirmed","visual table 0:166 SE.DJ-1R","half"
"203","、","confirmed","visual punctuation; dialogue/UI comma context","half"
"204","。","confirmed","visual punctuation; UI sentence terminator context","half"
"231","・","confirmed","visual table 0:76 超電磁ロボ コン・バトラーV","half"
"236","z","confirmed","visual table 0:116 RX-79(G)Ez-8","half"
"239","→","confirmed","visual UI preview/context 地形→LRZトリガー","half"
"240","…","confirmed","visual ellipsis; repeated dialogue context","half"
"241","P","confirmed","visual circled-P icon (usable after moving) at the end of weapon menu names; kept as the text stand-in P because src/srw64_native/weapon_traits.py splits menu names on it","icon"
"242","B","confirmed","visual circled-B icon (beam weapon) at the end of weapon menu names, can follow 241; kept as the text stand-in B because src/srw64_native/weapon_traits.py splits menu names on it","icon"
"243","射","confirmed","visual 射撃 (ranged attack) icon in front of weapon menu names, not the kanji 射 (612); kept as the text stand-in 射 because src/srw64_native/weapon_traits.py splits menu names on it","icon"
"244","格","confirmed","visual 格闘 (melee attack) icon in front of weapon menu names, not the kanji 格 (622); kept as the text stand-in 格 because src/srw64_native/weapon_traits.py splits menu names on it","icon"
"248","“","confirmed","visual emphasis-quote opener; dialogue context <g248>term<g199>","half"
"249","-","confirmed","visual model-code hyphen in table 0:110-199","half"
"229","々","confirmed","visual dialogue context 我々","half"
"318","命","confirmed","visual UI context 命中","full"
"319","中","confirmed","visual UI context 空中/地中/命中","full"
"320","回","confirmed","visual UI context 1回だけ","full"
"362","入","confirmed","visual UI context 名前を入力してください","full"
"374","球","confirmed","visual/context 地球人/地球圏/球形ミサイル","full"
"392","気","confirmed","corrected visual/context 気力/必要気力/一気","full"
"397","力","confirmed","visual UI/text context 気力/大きな力","full"
"423","方","confirmed","visual dialogue context やめた方が","full"
"435","大","confirmed","visual text context 大空/大地/大きな力","full"
"457","艦","confirmed","bitmap-corrected 2026-09-17 (seed 闘): ROM tile shows 艦; context 軍先遣艦隊/ムゲ戦艦","full"
"528","撃","confirmed","visual title/UI context 出撃","full"
"568","出","confirmed","visual title/UI context 出撃","full"
"572","攻","confirmed","visual battle context 攻撃","full"
"611","名","confirmed","visual UI context 名前","full"
"650","行","confirmed","visual UI context 戦闘を行う","full"
"652","様","confirmed","visual dialogue context 貴様","full"
"690","俺","confirmed","visual dialogue context この俺","full"
"694","何","confirmed","visual dialogue context 何!?/何だと!?","full"
"703","我","confirmed","visual dialogue context 我ら/我々","full"
"756","貴","confirmed","visual dialogue context 貴様","full"
"831","見","confirmed","visual dialogue context 見えた/見切った","full"
"904","思","confirmed","visual dialogue context 思うな/思った","full"
"911","私","confirmed","visual dialogue context この私","full"
"1028","切","confirmed","visual dialogue context 見切った","full"
"1037","前","confirmed","visual UI/dialogue context 名前/お前","full"
"436","将","confirmed","visual/context 暗黒大将軍 and enemy general names","full"
"437","軍","confirmed","visual/context 暗黒大将軍 and enemy general names","full"
"446","皇","confirmed","visual/context 皇帝ズール","full"
"447","帝","confirmed","visual/context 皇帝ズール and ブライ大帝","full"
"456","小","confirmed","visual/context 第08MS小隊","full"
"461","王","confirmed","visual/context 宇宙の王者ゴッドマーズ","full"
"472","隊","confirmed","visual/context 第08MS小隊 and ブラッキー隊長","full"
"473","長","confirmed","visual/context 隊長 and 大隊長","full"
"489","島","confirmed","visual/context ランタオ島","full"
"529","時","confirmed","visual/context 攻撃時/出撃時/時は流れた","full"
"569","決","confirmed","visual/context 決戦","full"
"583","上","confirmed","visual/context 上回って/能力を上げます","full"
"610","用","confirmed","visual/context 使用できません and 用意","full"
"617","正","confirmed","visual/context 正しい/正々堂々","full"
"628","来","confirmed","visual/context 敵機襲来 and 来る","full"
"635","一","confirmed","visual/context 一度だけ/一回だけ","full"
"640","効","confirmed","visual/context 無効/効果","full"
"664","意","confirmed","visual/context 用意はいいかい","full"
"698","果","confirmed","visual/context 効果がありません","full"
"812","君","confirmed","visual/context 君たち/君の戦い","full"
"898","使","confirmed","visual/context 使用できません/使っても","full"
"909","死","confirmed","visual/context 死闘/死神","full"
"926","捨","confirmed","visual/context 使い捨て","full"
"929","者","confirmed","visual/context 宇宙の王者/使者","full"
"938","手","confirmed","visual/context 相手/手に入れた","full"
"1050","相","confirmed","visual/context 相手","full"
